p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
ARL6IP4	0	0.349405459816955	0.922	0.831	0	3	ARL6IP4
PFDN5	0	0.349291892945522	0.988	0.951	0	3	PFDN5
NDUFC2	0	0.348903903695529	0.963	0.913	0	3	NDUFC2
SSR1	0	0.348671056782792	0.873	0.769	0	3	SSR1
CREB3L2	0	0.348561289614851	0.614	0.453	0	3	CREB3L2
CLTC	0	0.344530994747767	0.84	0.736	0	3	CLTC
GNAI2	0	0.343753457218597	0.767	0.637	0	3	GNAI2
SELENOP	0	0.343741296041976	0.529	0.34	0	3	SELENOP
RPL8	0	0.34370328051584	1	0.994	0	3	RPL8
TPD52	0	0.342716142756421	0.92	0.845	0	3	TPD52
NBDY	0	0.342682714599403	0.855	0.735	0	3	NBDY
LRP11	0	0.341992380347991	0.747	0.609	0	3	LRP11
ADCY1	0	0.341548790915597	0.43	0.25	0	3	ADCY1
NME3	0	0.340749537790098	0.806	0.669	0	3	NME3
FRRS1L	0	0.340442032814598	0.573	0.4	0	3	FRRS1L
FDFT1	0	0.339261800771727	0.581	0.415	0	3	FDFT1
COPS9	0	0.338999280313193	0.813	0.671	0	3	COPS9
TGOLN2	0	0.338309000251057	0.803	0.689	0	3	TGOLN2
PTS	0	0.33718432915246	0.763	0.608	0	3	PTS
TMED4	0	0.336966146218126	0.857	0.758	0	3	TMED4
ANAPC11	0	0.33677158756554	0.898	0.788	0	3	ANAPC11
PRKAR1A	0	0.336112369835332	0.871	0.775	0	3	PRKAR1A
SDC2	0	0.335986438432052	0.777	0.657	0	3	SDC2
ERGIC3	0	0.335948478263961	0.712	0.562	0	3	ERGIC3
PET100	0	0.335875946814801	0.83	0.702	0	3	PET100
P4HB	0	0.335235573928947	0.926	0.861	0	3	P4HB
NDUFA2	0	0.334675627534075	0.843	0.709	0	3	NDUFA2
PIGT	0	0.333512008609834	0.849	0.74	0	3	PIGT
GRK3	0	0.333262708648813	0.426	0.25	0	3	GRK3
TMEM160	0	0.333234484825844	0.791	0.644	0	3	TMEM160
TMEM205	0	0.332778236479893	0.786	0.649	0	3	TMEM205
SNU13	0	0.330131846407488	0.935	0.85	0	3	SNU13
YWHAB	0	0.330121240362274	0.899	0.798	0	3	YWHAB
LSM4	0	0.329701699206784	0.84	0.71	0	3	LSM4
STUB1	0	0.327988783935959	0.845	0.716	0	3	STUB1
GNG2	0	0.326330488969831	0.595	0.417	0	3	GNG2
SRP14	0	0.324763132555917	0.988	0.956	0	3	SRP14
HAGH	0	0.324551058340167	0.715	0.566	0	3	HAGH
ATXN2	0	0.324479610078823	0.624	0.473	0	3	ATXN2
TMEM256	0	0.324257460206978	0.698	0.534	0	3	TMEM256
NAGLU	0	0.323786359311848	0.556	0.398	0	3	NAGLU
HACD3	0	0.322398449728674	0.714	0.577	0	3	HACD3
AHCYL1	0	0.321856103502526	0.727	0.595	0	3	AHCYL1
FMC1	0	0.321429180201933	0.653	0.48	0	3	FMC1
DCXR	0	0.320688238469246	0.692	0.532	0	3	DCXR
EPHX2	0	0.320059138332887	0.526	0.346	0	3	EPHX2
NOL4	0	0.320017501846628	0.513	0.352	0	3	NOL4
VPS28	0	0.31964423466322	0.868	0.762	0	3	VPS28
DZIP3	0	0.318939518283676	0.671	0.518	0	3	DZIP3
TMEM178B	0	0.31670573904338	0.409	0.237	0	3	TMEM178B
HPN	0	0.311810428264507	0.365	0.202	0	3	HPN
EPHX1	0	0.308964319085257	0.408	0.255	0	3	EPHX1
CDK2AP1	0	0.308792661637068	0.589	0.427	0	3	CDK2AP1
ANTKMT	0	0.306869646620931	0.718	0.574	0	3	ANTKMT
PLAC8	0	0.303857043251379	0.369	0.189	0	3	PLAC8
PYROXD2	0	0.299406669832357	0.303	0.131	0	3	PYROXD2
VPS41	0	0.2968759717043	0.551	0.392	0	3	VPS41
USP18	0	0.253874641633772	0.325	0.166	0	3	USP18
PELI3	0	0.23786460432911	0.33	0.185	0	3	PELI3
TMEM8A	5.61591284897701e-308	0.303155838407634	0.565	0.418	1.55779806517773e-303	3	TMEM8A
UQCR10	1.35789144679524e-307	0.342468907030982	0.965	0.883	3.76665508426531e-303	3	UQCR10
CAPZB	1.38330204606238e-307	0.316418827770605	0.899	0.797	3.83714154557242e-303	3	CAPZB
SDF2L1	1.81103972430782e-307	0.360861874549949	0.864	0.744	5.02364309125746e-303	3	SDF2L1
FTL1	3.74157932996086e-306	0.496158625747237	1	0.999	1.03787669033784e-301	3	FTL
RPL35	5.23171185066741e-306	0.343594569889179	0.996	0.973	1.45122455025663e-301	3	RPL35
GSTZ1	9.37964897616849e-306	0.284059568910428	0.488	0.325	2.60182082949938e-301	3	GSTZ1
SUMO2	2.41946453928778e-305	0.326365764269017	0.965	0.9	6.71135268553037e-301	3	SUMO2
TMEM260	1.1916348322622e-304	0.286082382340806	0.412	0.272	3.30547586121212e-300	3	TMEM260
ETFB	2.04571080022585e-304	0.347684180928892	0.86	0.729	5.67459718874649e-300	3	ETFB
PRDX3	2.97577299345554e-304	0.320891896320937	0.803	0.667	8.25449670654634e-300	3	PRDX3
SOD1	3.09648089862403e-304	0.322824044221098	0.965	0.908	8.58932836469319e-300	3	SOD1
ATP5F1A	9.55156049308775e-304	0.337246476328072	0.894	0.8	2.64950736517761e-299	3	ATP5F1A
PPM1K	1.10416419637968e-303	0.338037117078466	0.644	0.477	3.06284106433759e-299	3	PPM1K
SMARCA1	2.9708672056326e-303	0.361580869876086	0.782	0.658	8.24088854170427e-299	3	SMARCA1
HNF1A-AS11	4.46027088885809e-303	0.310973444178792	0.458	0.289	1.23723454186035e-298	3	HNF1A-AS1
RPS28	5.02422670232304e-303	0.379689247381581	0.997	0.983	1.39367024495739e-298	3	RPS28
RPS26	7.94116111789836e-303	0.371248573336604	0.982	0.93	2.20279868249383e-298	3	RPS26
RPL13A	1.11682021435521e-302	0.378131074219564	0.999	0.993	3.09794759259992e-298	3	RPL13A
LDLRAP1	3.55884708838935e-302	0.29519727760087	0.522	0.353	9.87188593848322e-298	3	LDLRAP1
EEF1A1	4.55095799063771e-302	0.377149584563192	1	0.999	1.26239023702299e-297	3	EEF1A1
RBP1	5.69464192680645e-302	0.368353133226197	0.752	0.598	1.57963672407684e-297	3	RBP1
ATP5MF	2.42295539109518e-301	0.339624426283615	0.947	0.855	6.72103595935893e-297	3	ATP5MF
FAM3B	2.4881341748115e-301	0.337353696337043	0.533	0.37	6.90183538750962e-297	3	FAM3B
NUCKS11	3.82425135338718e-301	0.310539403256193	0.929	0.867	1.06080908291607e-296	3	NUCKS1
RPL23	6.44325205213664e-301	0.35675440966668	0.978	0.93	1.78729368674218e-296	3	RPL23
NDUFS7	1.29872979863655e-300	0.325137301221323	0.871	0.754	3.60254658843792e-296	3	NDUFS7
HMGB31	2.41390247742823e-300	0.504772848033392	0.785	0.602	6.69592408213816e-296	3	HMGB3
COX4I1	3.40200091581076e-299	0.321027974153657	0.99	0.965	9.43681034036745e-295	3	COX4I1
CERS4	7.05621609401182e-299	0.249698567470492	0.391	0.246	1.95732378231794e-294	3	CERS4
CHID1	9.08049160310524e-299	0.316525500174723	0.88	0.787	2.51883756578536e-294	3	CHID1
BSG	1.07880460012479e-298	0.284069967261189	0.979	0.951	2.99249608028616e-294	3	BSG
PSMB5	4.05841958562802e-297	0.324185823401435	0.881	0.776	1.12576500885736e-292	3	PSMB5
ANXA7	5.17792748077633e-297	0.316311554094046	0.897	0.813	1.43630530389255e-292	3	ANXA7
RPS4X	8.80305490406216e-297	0.368017396711443	0.999	0.99	2.4418793998378e-292	3	RPS4X
MYL61	3.58447858252151e-296	0.317500525679504	0.999	0.993	9.94298514005642e-292	3	MYL6
ENSA	1.17743900268508e-295	0.307855906849735	0.817	0.692	3.26609804954813e-291	3	ENSA
RPL6	1.30287219210466e-295	0.359707948317189	0.998	0.987	3.61403717367912e-291	3	RPL6
BACE1	1.34263042012704e-295	0.278291954905463	0.508	0.357	3.7243225223904e-291	3	BACE1
SMARCA2	1.54444068260086e-295	0.328786248547961	0.765	0.647	4.28412400946654e-291	3	SMARCA2
SLC22A17	2.97251401894439e-295	0.345022517740369	0.909	0.826	8.24545663714983e-291	3	SLC22A17
PODXL2	5.70067680048529e-294	0.329907688046341	0.666	0.515	1.58131073768661e-289	3	PODXL2
AP2S1	5.91733354304279e-294	0.314587856123765	0.843	0.71	1.64140915150464e-289	3	AP2S1
UBL5	6.49743476830132e-294	0.340385165334155	0.974	0.914	1.8023234303791e-289	3	UBL5
MLF2	7.53825003402546e-294	0.318602869030177	0.789	0.668	2.09103517693832e-289	3	MLF2
RPLP1	3.1978460061806e-293	0.365283781016029	0.999	0.993	8.87050503654436e-289	3	RPLP1
RPL37A	7.27372540418856e-293	0.369827350126887	0.998	0.989	2.01765868986787e-288	3	RPL37A
RIIAD1	1.08315381241884e-292	0.303291020187341	0.494	0.33	3.00456036026863e-288	3	RIIAD1
CALM3	2.01803587966766e-292	0.364562539323972	0.945	0.855	5.59782972661012e-288	3	CALM3
SCG3	8.33432517469614e-292	0.303557587494338	0.978	0.954	2.31185846020896e-287	3	SCG3
SEPTIN3	3.48346780275465e-291	0.224268193218818	0.29	0.154	9.66279133806112e-287	3	SEPTIN3
PBX1	8.59645206230842e-291	0.275895468174889	0.494	0.335	2.38456983756373e-286	3	PBX1
RPS15	1.18788154205742e-290	0.330205341223743	0.999	0.993	3.29506460951308e-286	3	RPS15
BEX4	5.27275712586671e-290	0.327888301278871	0.851	0.741	1.46261009914417e-285	3	BEX4
SLC25A39	1.14477389852627e-289	0.33724245037799	0.747	0.603	3.17548831712201e-285	3	SLC25A39
KDELR1	3.89349096297058e-289	0.309758188607332	0.918	0.851	1.08001545821841e-284	3	KDELR1
RPS14	4.9791454279895e-289	0.361961581675617	0.998	0.985	1.38116515027001e-284	3	RPS14
COX7C	1.32145623400698e-288	0.33557980705147	0.994	0.967	3.66558744751197e-284	3	COX7C
NDUFS5	2.02322169777961e-288	0.321485403257251	0.972	0.915	5.61221466747085e-284	3	NDUFS5
LAMTOR4	2.17334347603279e-288	0.322562227847385	0.916	0.814	6.02863746816736e-284	3	LAMTOR4
HPS1	8.45570004120789e-288	0.306448063916842	0.591	0.436	2.34552663443066e-283	3	HPS1
TOMM6	1.26905488337088e-287	0.325226410122256	0.908	0.805	3.52023134098248e-283	3	TOMM6
ALKBH7	3.97842395750929e-287	0.311940418654231	0.764	0.619	1.1035750215735e-282	3	ALKBH7
TMA7	5.8366980366513e-287	0.356009513943262	0.971	0.902	1.6190416683867e-282	3	TMA7
UPF3A	2.30358998356944e-286	0.271065593018657	0.583	0.44	6.38992825542328e-282	3	UPF3A
COX6C	7.77491957607417e-286	0.331198876205273	0.984	0.938	2.15668494120721e-281	3	COX6C
CD46	1.29307631959434e-285	0.30898222711301	0.89	0.815	3.58686440292275e-281	3	CD46
CELF3	3.86174256956821e-285	0.265304903036566	0.49	0.339	1.07120877137253e-280	3	CELF3
PDXDC1	2.01572728989375e-284	0.287103163097223	0.63	0.488	5.59142592943626e-280	3	PDXDC1
CTSB	2.4585435691956e-284	0.387251212487023	0.867	0.746	6.81975400659166e-280	3	CTSB
ATP5MC1	3.41134799504922e-284	0.349929639714838	0.906	0.784	9.46273820346703e-280	3	ATP5MC1
ACADVL	7.52552110912004e-284	0.316883034346269	0.869	0.777	2.08750430045881e-279	3	ACADVL
SEPTIN6	9.43810563643749e-284	0.259041110737473	0.403	0.247	2.6180361224914e-279	3	SEPTIN6
CACNA2D2	1.99170316784115e-283	0.26260888474391	0.433	0.281	5.52478541727456e-279	3	CACNA2D2
GSTA4	2.19201703480617e-283	0.293596921447683	0.595	0.431	6.08043605284885e-279	3	GSTA4
MRPS21	2.67593049129154e-283	0.313842354106955	0.858	0.736	7.42276358979361e-279	3	MRPS21
MRPL54	1.04774311249314e-282	0.301106331522861	0.766	0.629	2.90633461974471e-278	3	MRPL54
SCAND1	1.28231243463666e-282	0.307647093148772	0.878	0.772	3.55700646243863e-278	3	SCAND1
NDUFB12	8.06195174883786e-282	0.348049545051193	0.883	0.751	2.23630479561013e-277	3	NDUFB1
TMEM59	1.64450319627956e-281	0.313392680876101	0.987	0.972	4.56168741615987e-277	3	TMEM59
LYSMD2	2.55314933951494e-281	0.274940379056698	0.6	0.45	7.08218095288049e-277	3	LYSMD2
DGCR6L	6.77930404753944e-281	0.262442345310804	0.518	0.358	1.88051114974697e-276	3	DGCR6L
WDR83OS	8.51096421035885e-281	0.310659134746265	0.934	0.859	2.36085636231144e-276	3	WDR83OS
COPE	9.70586639910256e-280	0.313384145581146	0.939	0.875	2.69231028044706e-275	3	COPE
TENT5C	2.06574501804559e-279	0.32311009612362	0.53	0.353	5.73017010555666e-275	3	TENT5C
BANF1	2.98629052398562e-279	0.295217901185328	0.79	0.654	8.28367128448371e-275	3	BANF1
SEZ6L2	5.86446340232087e-279	0.290597628708483	0.925	0.873	1.62674350316979e-274	3	SEZ6L2
MRPL57	2.79058912500377e-278	0.304765540487925	0.849	0.729	7.74081517384796e-274	3	MRPL57
RPS29	1.79439435997441e-277	0.370651335927088	0.988	0.948	4.977470515133e-273	3	RPS29
RPL7A	3.45199023584375e-277	0.354522851908071	1	0.994	9.57547571520697e-273	3	RPL7A
DYNLL11	5.53883791412371e-277	0.358062399045071	0.957	0.863	1.53641824899878e-272	3	DYNLL1
MXRA7	1.01496752233076e-276	0.29365641779146	0.775	0.673	2.81541841019331e-272	3	MXRA7
PLPPR2	1.12091186545117e-276	0.254197115101363	0.462	0.314	3.109297423575e-272	3	PLPPR2
ITM2B	1.99273349000608e-276	0.315222691234387	0.995	0.987	5.52764342792787e-272	3	ITM2B
CHCHD2	3.95579743292493e-276	0.306408025300196	0.99	0.954	1.09729864991905e-271	3	CHCHD2
RPL32	4.64629525001877e-276	0.35626111472605	0.998	0.986	1.28883583940271e-271	3	RPL32
HNRNPA2B1	5.07636625337976e-276	0.292455531352246	0.956	0.915	1.40813323502501e-271	3	HNRNPA2B1
RPL41	6.44399102059807e-276	0.347605444946463	0.999	0.996	1.7874986692037e-271	3	RPL41
RPS171	7.42389296318338e-276	0.350830524458211	0.971	0.912	2.05931366905744e-271	3	RPS17
TRMT112	3.95256553524194e-275	0.313287626615705	0.939	0.862	1.09640215382076e-270	3	TRMT112
RPL23A1	7.14246238684789e-275	0.352142439523907	0.998	0.985	1.98124764148774e-270	3	RPL23A
RPL29	8.65268094310641e-275	0.338815107698734	0.996	0.974	2.40016716680829e-270	3	RPL29
CALM2	8.8831175087868e-275	0.304697655622648	0.993	0.966	2.46408796576237e-270	3	CALM2
UXT	1.09875384485836e-274	0.306880048265112	0.852	0.737	3.04783329025262e-270	3	UXT
RPL27	2.72041569298434e-274	0.325912651901826	0.989	0.954	7.54616109076927e-270	3	RPL27
PCDH17	3.91117232164613e-274	0.354053441990396	0.788	0.671	1.08492009030142e-269	3	PCDH17
RPL38	6.53317324892451e-274	0.321610324809827	0.989	0.953	1.81223692751917e-269	3	RPL38
RAB11A	1.14884868757044e-273	0.308426660721448	0.913	0.82	3.18679137445164e-269	3	RAB11A
UBE2S	1.57752401951386e-273	0.281598119544678	0.593	0.431	4.37589387772949e-269	3	UBE2S
ALDH2	6.56734276596091e-273	0.266693811632115	0.483	0.332	1.8217152098499e-268	3	ALDH2
C18orf32	2.26190528798941e-272	0.294523430745881	0.922	0.849	6.27429907835381e-268	3	C18orf32
PDIA3	3.51937519511486e-272	0.309505050991712	0.979	0.954	9.7623948537291e-268	3	PDIA3
HIGD2A	1.41277572383613e-271	0.323430169710542	0.857	0.734	3.91889858034905e-267	3	HIGD2A
ITFG1	5.60049465045284e-271	0.29472058081166	0.713	0.583	1.55352121108911e-266	3	ITFG1
MMAB	7.90863982104269e-271	0.275004614379613	0.567	0.42	2.19377759995903e-266	3	MMAB
SEC61B	1.46282876093539e-270	0.31936203119151	0.966	0.907	4.05774069995867e-266	3	SEC61B
KLHL42	2.3969149789506e-270	0.282407944982702	0.514	0.378	6.64880246011106e-266	3	KLHL42
YWHAQ	2.80965841148214e-270	0.28977808672958	0.926	0.851	7.7937114676103e-266	3	YWHAQ
RPL28	1.05342048492091e-269	0.339028289889196	0.998	0.984	2.92208308312212e-265	3	RPL28
HSP90B1	1.50318717268968e-269	0.346389082686972	0.95	0.898	4.1696908983239e-265	3	HSP90B1
RPL11	2.66136029354839e-269	0.317657040747789	1	0.996	7.38234731827387e-265	3	RPL11
NEDD8	3.77087638294077e-269	0.311698035429591	0.931	0.831	1.04600339986394e-264	3	NEDD8
ARF1	5.04778541401128e-269	0.291134919401735	0.908	0.837	1.40020519599259e-264	3	ARF1
RPS9	2.0384793793319e-268	0.315369268475083	0.999	0.992	5.65453795032875e-264	3	RPS9
RPS20	2.12347260155408e-268	0.346165166203136	0.985	0.942	5.89030064945086e-264	3	RPS20
OS9	2.38652674197496e-268	0.297042500816828	0.796	0.693	6.61998652956435e-264	3	OS9
TTC37	2.67729752366084e-268	0.282275341525904	0.634	0.501	7.42655560088281e-264	3	TTC37
RBX1	2.85326978298311e-268	0.309489797959638	0.933	0.839	7.91468505101686e-264	3	RBX1
TBL1X	3.72826098786083e-268	0.268210003947456	0.508	0.37	1.03418231542272e-263	3	TBL1X
TXNDC11	1.21803860878486e-267	0.323474417399346	0.522	0.364	3.37871729690832e-263	3	TXNDC11
IFI30	3.16713692071846e-267	0.284968355137825	0.463	0.3	8.78532110438094e-263	3	IFI30
UROS	8.33678508575161e-267	0.287959978680177	0.61	0.453	2.31254081493664e-262	3	UROS
REEP4	1.33675725140226e-266	0.257677269082407	0.408	0.259	3.70803093966473e-262	3	REEP4
SDHC	3.11108961304597e-266	0.295203634941212	0.786	0.654	8.62985147762822e-262	3	SDHC
MRPL41	3.22393609829999e-266	0.314647117271403	0.859	0.736	8.94287634307433e-262	3	MRPL41
COX6B1	1.36809164726963e-265	0.307572460258183	0.974	0.914	3.79494942036123e-261	3	COX6B1
TMEM208	2.2435351014526e-265	0.309182618400597	0.875	0.785	6.22334201791936e-261	3	TMEM208
TMEM141	6.16005095293317e-265	0.343415758344914	0.902	0.79	1.70873653383413e-260	3	TMEM141
CAMTA1	9.1798462895969e-265	0.284331960729158	0.726	0.589	2.54639756227129e-260	3	CAMTA1
PMVK	2.06071228173121e-264	0.293801457343429	0.78	0.64	5.7162097982942e-260	3	PMVK
SLC25A6	2.22584474208048e-264	0.360885763441707	0.964	0.906	6.17427073005704e-260	3	SLC25A6
HSD17B141	2.30086654319046e-264	0.327317281140681	0.704	0.545	6.38237370415602e-260	3	HSD17B14
SKP1	2.38402528057335e-264	0.291310823425643	0.971	0.921	6.61304772578241e-260	3	SKP1
RPL39	4.11731554460329e-264	0.332315124595015	0.992	0.966	1.14210215891751e-259	3	RPL39
NME41	7.69016674949268e-264	0.344696007231045	0.793	0.634	2.13317535464177e-259	3	NME4
AK1	1.28114624030374e-261	0.288950346502674	0.691	0.543	3.55377155597855e-257	3	AK1
LLGL2	1.50260753046825e-261	0.265150623626055	0.608	0.476	4.16808302876589e-257	3	LLGL2
POLR2K	2.47626125272553e-261	0.286893832464896	0.827	0.701	6.86890108893534e-257	3	POLR2K
CISD3	5.41693168004624e-261	0.289285224872464	0.645	0.494	1.50260267872803e-256	3	CISD3
TIMM17B	6.84009542835984e-261	0.287202655680125	0.747	0.609	1.89737407087273e-256	3	TIMM17B
SLC25A1	1.61664117506141e-260	0.284557243208088	0.633	0.487	4.48440095550284e-256	3	SLC25A1
PDLIM2	2.31725235621345e-260	0.313769664832387	0.452	0.293	6.4278263109005e-256	3	PDLIM2
ISCU	2.70607919973506e-260	0.294276884624786	0.77	0.643	7.50639309214507e-256	3	ISCU
ABHD12	1.55033043766489e-259	0.28729095528295	0.659	0.53	4.30046160103865e-255	3	ABHD12
CTSD	3.85416227402347e-259	0.319005559583307	0.857	0.767	1.06910607319137e-254	3	CTSD
SNHG29	5.56776856158696e-259	0.382961401093026	0.982	0.937	1.54444332129861e-254	3	SNHG29
CNTN4	1.70725381985481e-258	0.263371802465705	0.392	0.244	4.73575137089525e-254	3	CNTN4
RPS21	3.34366789582274e-258	0.309327154301443	0.992	0.969	9.27500037622271e-254	3	RPS21
RPL30	4.74349408009668e-258	0.319520488197582	0.998	0.989	1.31579782287802e-253	3	RPL30
ATP5PF	6.96994218636775e-258	0.308690893219236	0.964	0.896	1.93339226307655e-253	3	ATP5PF
RPS10	7.02724042720985e-258	0.328781842500812	0.924	0.854	1.94928622210374e-253	3	RPS10
INSIG1	1.29914743941704e-257	0.354724380600572	0.465	0.313	3.60370508219894e-253	3	INSIG1
PRDX2	1.41584688056966e-257	0.326979412362501	0.98	0.935	3.92741766201219e-253	3	PRDX2
TRAPPC2L	1.81434381956975e-257	0.288462972124622	0.745	0.603	5.03280832110454e-253	3	TRAPPC2L
ADI1	5.09034118398504e-257	0.236981215192284	0.385	0.242	1.41200974102561e-252	3	ADI1
NDUFB10	5.40013633724216e-257	0.302082074455538	0.875	0.761	1.4979438185876e-252	3	NDUFB10
C7orf50	7.18509453887562e-257	0.299499336630546	0.756	0.617	1.99307337413871e-252	3	C7orf50
CD151	1.52175302420083e-256	0.315346502718167	0.842	0.732	4.22119071383069e-252	3	CD151
HINT2	1.85177867146003e-256	0.287185255782316	0.682	0.532	5.13664885676297e-252	3	HINT2
PPT1	2.90320578776952e-256	0.28321879563876	0.725	0.595	8.05320253469387e-252	3	PPT1
ACAT2	3.0207117379416e-256	0.263016975072635	0.381	0.246	8.37915228987621e-252	3	ACAT2
FIBP	5.28234942552424e-256	0.276119978670766	0.669	0.526	1.46527090714617e-251	3	FIBP
SSU72	8.35633793685774e-256	0.291112458443737	0.85	0.742	2.31796458030497e-251	3	SSU72
RPL34	9.79797951111152e-256	0.347915336432872	0.997	0.982	2.71786153658723e-251	3	RPL34
LSM7	1.00977611947994e-255	0.304699304508357	0.867	0.747	2.80101797782542e-251	3	LSM7
PNKD	1.40397636534737e-255	0.266368821893434	0.599	0.447	3.89449003983707e-251	3	PNKD
SNHG141	1.54678419315068e-255	0.388985725263245	0.793	0.668	4.29062467338067e-251	3	SNHG14
DSTN1	4.37491725519472e-255	0.283357329551837	0.98	0.937	1.21355829741846e-250	3	DSTN
RPS2	3.34161141128638e-254	0.353797142211721	1	0.997	9.2692958937673e-250	3	RPS2
MICOS13	7.53420148588811e-254	0.298209574979997	0.926	0.842	2.0899121501705e-249	3	MICOS13
RPL12	1.19388749306333e-253	0.34794787427399	0.996	0.976	3.31172451700837e-249	3	RPL12
SEZ6L	1.55277866732497e-253	0.272713527634397	0.455	0.299	4.30725274529274e-249	3	SEZ6L
COX11	2.08507618275182e-253	0.259571601477554	0.556	0.415	5.78379282333527e-249	3	COX11
ITPR1	1.50586763553955e-252	0.277423283956079	0.498	0.362	4.17712623422316e-248	3	ITPR1
CSRNP3	2.51711049425257e-252	0.260368542065591	0.444	0.3	6.98221280000721e-248	3	CSRNP3
SLC25A33	2.5752043703177e-252	0.251179261422307	0.478	0.329	7.14335940282426e-248	3	SLC25A33
UQCRH	1.06134333503692e-251	0.327457789918721	0.945	0.854	2.94406027705891e-247	3	UQCRH
FADS1	4.05951308140851e-251	0.293868994632438	0.522	0.368	1.12606833365191e-246	3	FADS1
OAZ1	1.0726625646869e-250	0.295842662782297	0.996	0.977	2.97545868818499e-246	3	OAZ1
ATP6AP2	1.30875656750678e-250	0.291793978241047	0.945	0.898	3.63035984260705e-246	3	ATP6AP2
MICOS10	2.10961400081276e-250	0.306622882383874	0.948	0.865	5.85185827685451e-246	3	MICOS10
YIF1A	4.37162412951841e-250	0.310094418768305	0.888	0.791	1.21264481728711e-245	3	YIF1A
MIEN1	6.0264509225138e-250	0.286321187257937	0.71	0.566	1.6716772213961e-245	3	MIEN1
TMEM14C	7.85167887794235e-250	0.27027214445028	0.745	0.627	2.17797720395243e-245	3	TMEM14C
YBX1	1.707825165627e-249	0.307180433550427	0.978	0.931	4.73733622693273e-245	3	YBX1
TMEM230	1.75671432882342e-249	0.296201243372824	0.814	0.691	4.87294987672329e-245	3	TMEM230
CBX6	2.70327491672263e-249	0.298785470986233	0.781	0.673	7.49861429149691e-245	3	CBX6
CD200	5.65081535496801e-249	0.248656798426027	0.466	0.317	1.56747967131458e-244	3	CD200
B3GAT3	4.55533850663511e-248	0.278273631461866	0.602	0.465	1.26360534835551e-243	3	B3GAT3
GTF3C6	4.3185056275492e-247	0.283895959210771	0.775	0.633	1.19791027602587e-242	3	GTF3C6
CD164	6.72402758199036e-247	0.303680130800433	0.944	0.896	1.86517801096831e-242	3	CD164
RPS24	1.43847435811462e-246	0.311373553182166	0.999	0.992	3.99018402197413e-242	3	RPS24
SPINT2	1.61965421090382e-246	0.26034332912195	0.998	0.994	4.49275881562611e-242	3	SPINT2
RPL18	2.37030820560771e-246	0.292589590464627	0.998	0.988	6.57499793153523e-242	3	RPL18
NKX2-2	3.59812278947931e-246	0.287028838500357	0.583	0.447	9.98083280573665e-242	3	NKX2-2
ATP6V0E2	1.75339017045183e-244	0.309719319637907	0.722	0.572	4.86372899381633e-240	3	ATP6V0E2
GLMP	2.46320098332159e-244	0.258035488355811	0.47	0.329	6.83267320763575e-240	3	GLMP
AKR1A1	2.91145435411032e-244	0.277851045972324	0.667	0.529	8.07608323286662e-240	3	AKR1A1
FKBP1B	3.69582960635372e-244	0.228639448655162	0.409	0.272	1.02518617450646e-239	3	FKBP1B
RPL36	3.89225569095987e-244	0.304781264553966	0.998	0.985	1.07967280611536e-239	3	RPL36
WSB2	1.21554078305938e-243	0.257954903686346	0.603	0.476	3.3717885781284e-239	3	WSB2
RPL311	2.95142473767979e-243	0.343009861676562	0.967	0.907	8.18695707984998e-239	3	RPL31
ABHD14A	6.50702977329652e-243	0.284861903429631	0.644	0.497	1.80498498881472e-238	3	ABHD14A
ATP6V1F	7.42131452148527e-243	0.290216714795428	0.911	0.811	2.0585984351148e-238	3	ATP6V1F
SSBP4	1.01113224454683e-242	0.285888497848176	0.772	0.637	2.80477973314846e-238	3	SSBP4
CCDC86	1.22666538203733e-242	0.255575161452815	0.357	0.22	3.40264710323335e-238	3	CCDC86
RBM47	1.93256694984017e-242	0.269342237618754	0.583	0.447	5.36074746216166e-238	3	RBM47
CDC42EP3	2.16808293298913e-242	0.319775890982497	0.636	0.514	6.01404524781854e-238	3	CDC42EP3
CYP51A1	2.89700497265518e-242	0.272742703300915	0.645	0.524	8.03600209364819e-238	3	CYP51A1
SEPTIN2	4.04986268453113e-242	0.263824239257772	0.734	0.625	1.12339141006209e-237	3	SEPTIN2
SYNGR4	5.17106169235466e-242	0.37972879830248	0.415	0.255	1.43440080284226e-237	3	SYNGR4
SPAG16	6.12512392202998e-242	0.249005980735971	0.538	0.396	1.6990481247319e-237	3	SPAG16
STXBP1	1.02252093572522e-240	0.26880727993981	0.698	0.584	2.83637082360819e-236	3	STXBP1
ANAPC13	1.20540645971251e-240	0.281258733403839	0.667	0.526	3.34367697859652e-236	3	ANAPC13
FKBP1A	1.35279603517917e-240	0.284702391498949	0.772	0.639	3.7525209219835e-236	3	FKBP1A
NHP2	2.37118112196986e-240	0.302914062635699	0.783	0.639	6.5774193142322e-236	3	NHP2
FBXL15	3.31356453347082e-240	0.263520321441593	0.631	0.5	9.1914966593947e-236	3	FBXL15
RPL37	5.22228944033093e-240	0.304359461701631	0.992	0.967	1.4486108678534e-235	3	RPL37
ARL21	5.86628337959311e-240	0.306975126094005	0.899	0.804	1.62724834666533e-235	3	ARL2
LSM3	1.48781841577646e-239	0.282646468844389	0.845	0.725	4.12705950352232e-235	3	LSM3
RPL13	2.82022292506774e-239	0.325497815499661	1	0.995	7.82301637184541e-235	3	RPL13
