Disease_State	Top2markers:expression	Cell_Type	q0	q5	q10	q15	q20	q25	q30	q35	q40	q45	q50	q55	q60	q65	q70	q75	q80	q85	q90	q95	q100
ND	SST:10.7|INS:7	Delta	3.8460669	7.5628117	8.4322283	8.7022384	8.9658755	9.4421733	9.7711939	10.6340054	11.09774	11.4780607	11.8000123	12.3622256	13.0423708	13.524835	14.6101343	16.5364101	18.6625512	22.9444022	26.6617544	34.6015183	46.5203795
ND	SST:10.4|INS:2	Delta	4.61806777	7.88660143	9.10599427	9.84583149	10.16737871	10.67629959	11.03184165	11.46183419	11.75452828	12.10197018	12.77170201	13.11010447	13.90780684	14.5950749	15.24346495	16.00738281	17.14489335	18.46541684	19.95395404	21.49216924	32.94975587
ND	SST:12.1|INS:7	Delta	4.4790138	8.7833686	10.6899902	11.8247071	12.4497364	13.1567721	13.7476108	14.1287486	14.4067677	14.906722	15.1202717	15.6690809	16.336707	16.772207	17.8747972	18.5089809	19.6705561	20.6640007	22.8114223	27.019722	35.3226246
ND	SST:10.9|INS:7.5	Delta	1.9793461	12.0581493	13.5847851	14.8181288	15.5365979	16.4838563	17.4003637	18.0726223	18.9859941	20.3937285	21.3570246	22.6961996	24.288733	25.670724	27.438865	29.847122	31.7848113	34.1644482	37.2282102	41.3453961	49.7686707
ND	SST:11.2|GCG:2.6	Delta	1.173028023	9.512610774	11.12465846	12.28834198	12.79672315	13.7090826	14.50783618	15.25959906	15.90670256	16.51737256	17.36278198	18.07152772	19.11155034	20.05817311	21.52676152	24.25361086	26.33281278	28.81080225	35.27586627	40.33458225	49.64438688
ND	SST:11.2|GCG:2.5	Delta	3.49813507	10.69672471	11.94200773	13.04565407	14.17884494	14.80681048	15.23714528	16.04197107	16.52043821	17.19138577	17.97271651	19.17136671	19.72884167	21.23624822	23.89847914	26.38646162	28.76482707	31.15466638	36.26696526	42.69815157	49.94753826
ND	SST:12.3|INS:2.5	Delta	3.392703188	6.33459644	8.034214134	8.831538122	9.411120189	10.53070478	10.89982116	11.29788695	11.73880121	11.84881166	12.23997335	12.73541552	13.05711723	13.22376463	13.69218473	13.76752696	14.80287842	16.47211367	17.57625797	19.64996514	23.49866377
ND	SST:10.4|INS:6.1	Delta	4.11022802	7.806815814	9.235991705	10.3358039	10.98504836	11.64066064	12.06436557	12.79443144	13.32657464	13.96053536	14.80111827	15.29994417	15.90331098	16.51869206	17.57264793	19.08673258	20.80865259	23.01866401	27.00073249	31.18615255	48.25242026
ND	SST:11.1|INS:5.9	Delta	1.27548756	7.255340852	9.419738825	10.0255188	10.6401973	11.41501463	12.08077199	12.55168517	13.42723235	14.11435059	14.49837752	14.84684864	15.70133436	16.63156125	17.9687343	18.4612087	20.92590643	22.88636183	25.69681358	28.78985302	43.55430205
ND	SST:11.8|KRT19:0.7	Delta	0.579971485	7.389036451	8.754960117	9.555344735	10.33592183	10.99851948	12.29739449	12.83727626	13.44958231	14.11818276	14.84259605	15.55559946	16.81026951	17.48703893	18.35514388	19.10266934	20.68992669	22.37242781	25.86854071	29.40531489	37.20393646
ND	SST:11.9|INS:4.9	Delta	0.27649673	5.35955775	6.20845196	6.82744258	7.28539215	7.4833674	7.71055495	7.97627088	8.21300584	8.59491664	9.09717416	9.52557559	9.97066598	10.34958429	11.20385711	12.07077533	14.14975705	17.07134652	22.45298315	28.35674084	41.7895878
ND	SST:11.7|INS:3.9	Delta	0.034093755	5.163383161	7.12242116	8.048187167	8.657129689	9.215707196	9.741111616	10.12554767	10.38318194	11.00192182	11.56844735	12.38994313	13.63724112	14.36656876	15.79171461	16.60273808	18.63261561	20.94187065	23.96510562	30.03489551	45.60599296
ND	SST:11.7|GCG:2.6	Delta	1.1137493	10.1315105	11.6377719	13.0272058	13.6389121	15.1559713	15.6969796	16.6200551	17.3270366	17.9363773	19.1438997	20.4357576	21.4229356	22.2634005	23.9888922	25.1187367	27.401785	29.1230788	31.9566228	36.0651858	46.2603975
ND	SST:11.3|INS:7	Delta	0.90842944	9.02153902	10.1168787	10.85708641	11.59347452	11.98094546	12.37240323	12.93982928	13.43137283	13.85965749	14.40021038	15.02709318	15.58759709	16.47608224	17.60555586	18.5174252	20.78675714	24.26844186	29.70052599	37.93308074	49.93597552
ND	KRT19:5.4|PRSS1:0.2	Ductal	0	1.493375722	1.779342155	1.953172638	2.124202186	2.279337191	2.432801574	2.548119201	2.679950336	2.793380737	2.997671528	3.164925493	3.513176755	3.850164934	4.238982728	5.036156385	6.385822211	8.109926357	10.80605924	15.27055878	44.17746018
ND	KRT19:4.7|PRSS1:0.3	Ductal	0.648134531	1.194682602	1.553703446	1.876061809	2.147265161	2.367855449	2.601958613	2.895377144	3.045095935	3.373564295	3.644065785	3.929498578	4.198300236	4.616295322	4.973522145	5.599668439	6.88805972	8.20693947	9.916381104	12.30964869	21.74044903
ND	KRT19:6.3|PPY:0.2	Ductal	0.549320625	0.921914177	1.205125495	1.514739567	1.662790883	1.753903645	1.853711633	2.088514186	2.217586971	2.305220439	2.388293565	2.468915696	2.666059766	2.766778143	2.972655398	3.210874488	3.616691631	3.864399613	4.260500878	5.544412184	10.50703023
ND	KRT19:4|HLA-DPB1:0.3	Ductal	0	1.804923403	2.627835994	2.931308321	3.146106607	3.45352138	3.776277658	3.944868351	4.124058164	4.363553639	4.643959977	4.928050279	5.214868681	5.647167265	6.253175332	7.120637561	8.561348873	10.24337865	11.99489497	15.14705706	29.86875363
ND	KRT19:5.6|GCG:0.7	Ductal	0.37118569	2.04539163	2.41254999	2.71081608	2.86575578	3.00579367	3.16531864	3.33388593	3.44228842	3.60236883	3.76236485	3.9246901	4.11066447	4.31042417	4.48575933	4.67960349	4.9436125	5.42154938	6.41716285	8.7430288	18.66112837
ND	KRT19:4.8|HLA-DPB1:0.5	Ductal	0.07458008	2.35260557	3.02171866	3.4182117	3.74288109	3.98674737	4.20619116	4.38244562	4.57458111	4.78117053	4.93845124	5.15900752	5.37799826	5.6007459	5.86332572	6.20444306	6.47453276	7.23163703	8.67539351	12.38671555	47.07585966
ND	KRT19:3.5|HLA-DPB1:0.5	Ductal	0.34794681	2.67371667	3.50263146	3.90658079	4.13570336	4.37900464	4.60187006	4.79433459	5.00709876	5.17078432	5.3459944	5.54369227	5.69954788	5.90226365	6.13050107	6.4111983	6.76537965	7.27054211	7.84517281	8.77249234	16.79944013
ND	KRT19:5.6|HLA-DPB1:0.3	Ductal	2.36226449	2.89699767	3.02545744	3.16844311	3.3754628	3.47236265	3.58361156	3.68256585	3.83469615	3.98336633	4.13067021	4.29433269	4.40754671	4.53547528	4.88174822	5.15048896	5.46881929	5.67748339	6.4336763	7.55009684	9.81444039
ND	KRT19:3.8|GCG:1.8	Ductal	0.79723506	2.868475988	3.429070712	3.886907879	4.129067034	4.468176641	4.764453052	5.029042181	5.307950968	5.589714445	5.842834939	6.153716806	6.521152627	6.895292126	7.896468619	8.807472441	10.38762769	12.14401234	16.41400692	24.0264033	46.26080698
ND	KRT19:5.4|GCG:1.7	Ductal	3.94E-01	9.18E+00	9.99E+00	1.11E+01	1.19E+01	1.25E+01	1.28E+01	1.34E+01	1.41E+01	1.48E+01	1.56E+01	1.63E+01	1.69E+01	1.75E+01	1.90E+01	2.02E+01	2.17E+01	2.71E+01	3.03E+01	3.53E+01	4.37E+01
ND	KRT19:6.7|HLA-DPB1:0.4	Ductal	2.43647394	3.19162708	3.6373141	4.1097401	4.43486817	4.68928872	5.14419091	5.33560108	5.47649765	5.7954846	5.98525311	6.23232737	6.52264503	7.30755663	7.68703	8.02530849	9.08380929	10.77462597	11.59238839	14.15616669	16.75289759
ND	KRT19:5.8|HLA-DPB1:0.5	Ductal	1.81518398	3.23631945	4.22081809	4.85379495	5.2141503	5.4957057	6.0723396	6.48692884	7.54039291	7.96266129	8.10667607	8.53431945	8.80108863	9.03158368	9.35627948	10.03377967	10.65452454	11.50470467	13.74995477	15.45939491	20.49128585
ND	KRT19:5.8|PRSS1:0.9	Ductal	0.44884372	5.79348227	6.48438243	6.98681585	7.33766273	7.82573845	8.32967238	8.77311708	9.23200516	9.64297203	10.0360177	10.7076269	11.15055319	11.77644871	12.45967707	13.63340694	15.29748927	16.89138397	19.61753013	24.95495172	37.56136037
ND	KRT19:4.9|INS:3.6	Ductal	0	4.249632493	5.430157901	6.356208004	6.731797619	7.292665582	7.780595276	8.224308459	8.607686251	9.10942798	9.65870209	10.13746498	10.93320401	11.78117612	13.20914709	14.52057793	16.58104567	20.34797863	22.1582054	26.3424171	46.89499422
ND	KRT19:4.4|GCG:2.5	Ductal	2.35047086	6.04135318	7.31023902	7.59750306	7.82426402	8.39121414	9.00757401	9.56553683	10.17640074	10.90347921	11.67379821	12.15592626	12.64323442	13.37280988	15.52979721	17.09387112	18.90751004	24.25102649	26.57327032	33.57299123	41.52491464
ND	KRT19:4.4|GCG:2.5	Ductal	3.4111691	5.2967608	6.4080891	6.9558735	7.5765731	7.9651754	8.5453954	8.9873806	9.5531416	10.1416043	10.5984933	11.4026139	12.0754211	12.8123763	13.7422286	15.0681836	17.3990268	20.2087038	23.3487084	35.1388739	48.318074
ND	KRT19:4.9|GCG:1.1	Ductal	2.607202	6.19710701	6.7980113	7.64553599	8.09250703	8.27825293	8.62683361	8.90428817	9.68581023	10.13095289	10.52884199	11.1233667	11.54189163	12.14836398	12.78841545	13.6573114	14.23749666	16.30073558	17.77819008	23.57602373	38.51617056
ND	KRT19:3.7|PRSS1:2.6	Ductal	2.44002924	5.42186234	5.79921634	6.98057012	7.7936866	8.89905339	9.69934181	10.64845105	11.86141494	13.55069579	14.51873537	14.98329234	16.83097181	17.58475099	18.69082862	20.24801863	21.49437163	22.80355786	25.84826497	29.0427961	32.01939487
ND	KRT19:5.7|GCG:1	Ductal	0.002831426	4.802771025	6.033628245	6.945065803	7.503328843	7.982448415	8.324587685	8.779139674	9.000047263	9.247477285	9.648952732	10.20335156	10.69138752	11.28065963	12.11229321	13.61592017	15.54092634	18.02068769	24.14497596	31.58967064	48.77456547
ND	KRT19:5.6|HLA-DPB1:0.9	Ductal	3.27129421	6.04474867	6.89151052	7.40512216	7.7201935	7.91879108	8.31587744	8.61127578	9.00252668	9.33906191	9.58939831	10.42249844	10.9544729	11.67228952	12.70713128	14.26384437	15.78122883	17.73202819	21.06000105	31.73527923	47.25194827
ND	KRT19:5.7|HLA-DPB1:0.9	Ductal	2.16185007	5.26855145	6.84661848	7.360587	7.89218117	8.34085825	8.72298089	9.42127262	9.9650845	10.19576766	10.58318324	11.89335304	12.28340916	13.49008902	14.82146942	16.38672086	19.45219843	21.80831336	24.91214854	31.66824337	49.47352607
ND	KRT19:6|INS:2.9	Ductal	2.926819216	4.757316597	5.244752364	5.752979161	6.346628942	6.641151563	6.941840319	7.476420067	7.658161074	7.816758294	8.276666542	8.883034807	9.607384367	9.914451941	10.48926616	11.60364768	13.43509891	15.27762589	17.30750943	19.84499104	29.711675
ND	KRT19:5.4|INS:2.9	Ductal	0.097329258	5.13099885	6.061497331	6.837921927	7.513260544	8.015349095	8.548146183	9.009458679	9.44986943	9.964687298	10.59480654	11.14636652	11.86775977	12.68291754	13.7366723	15.32950399	17.20926812	19.48672881	22.05705087	28.09177158	49.23790845
ND	KRT19:5.4|INS:4.8	Ductal	0.183591317	5.662729166	6.413735818	6.852357012	7.359028467	8.042872564	8.433332392	8.757432639	9.119311713	9.682684242	10.42059145	11.22972284	11.47493323	11.78051973	12.05489295	12.81786784	14.16470417	15.82991797	18.02834866	25.74930052	43.25795795
ND	KRT19:5.3|HLA-DPB1:0.7	Ductal	0.372230354	4.415748398	5.914341403	7.105542645	7.64092832	8.531965318	9.287575768	10.39403567	11.30068715	12.62525149	13.10079774	14.4796595	15.63710937	16.26101543	18.45361679	20.89160409	23.18200823	25.8717132	28.39738764	35.33795034	48.98456877
ND	KRT19:5.8|INS:4.8	Ductal	0	2.29323845	4.5522644	5.62726748	7.43317939	7.59872877	7.67945582	8.28169992	8.86940158	8.92572355	9.35049415	9.65054888	9.72901844	10.40055898	11.24437232	11.81806171	13.39384733	13.8874791	14.63876173	21.17867505	42.81276303
ND	KRT19:4.8|GCG:3.1	Ductal	0.235579364	4.92583666	5.950834752	6.817728493	7.578121478	8.206354028	8.798894559	9.32786933	9.834976308	10.62950257	11.32881318	12.00372217	13.42051856	14.5933558	15.98187727	17.08780532	19.77409901	21.9836935	26.47647023	34.8487904	49.79934141
ND	KRT19:4.3|GCG:2.5	Ductal	0.2242452	0.9249991	4.4627647	6.2142397	7.694766	9.4788737	10.1846032	12.0944739	13.849019	14.7330099	15.5320604	16.136814	17.4625872	18.6862136	21.8402478	24.1853674	26.9489977	29.5351917	34.4416144	40.9146794	49.0245952
ND	PRSS1:9|KRT19:0.4	Acinar	0	0.58283102	0.778087257	1.041342273	1.132269612	1.273794254	1.399915494	1.483670743	1.565303214	1.67458905	1.766023507	1.903839892	2.086762424	2.196875416	2.327217711	2.487866832	2.645808269	2.949333497	3.283978088	3.97661782	12.04977369
ND	PRSS1:3.5|KRT19:3.1	Acinar	0.442778744	1.217307094	1.691845337	1.788575345	2.054198515	2.266534467	2.407422986	2.475866626	2.559134925	2.614875646	2.722699038	2.825619304	3.007090974	3.194041067	3.319896097	3.380615233	3.519887479	3.828923566	4.703405603	5.536973648	9.846341852
ND	PRSS1:5.1|KRT19:1.3	Acinar	0.047195283	1.356637119	1.621788011	1.818275786	1.920066594	2.111284037	2.221742641	2.394150257	2.488489217	2.665689224	2.79474058	2.977853921	3.094198693	3.238197152	3.376752026	3.638732056	3.983986381	4.355235104	5.089464883	6.790840539	49.13413817
ND	PRSS1:7.7|KRT19:0.6	Acinar	0.006545541	0.951657776	1.228537012	1.299528378	1.414001975	1.484031353	1.616690953	1.662826606	1.810328667	1.902084557	1.981597248	2.084583324	2.191512306	2.294051429	2.479878374	2.746357768	2.9493376	3.248330631	3.625303234	5.018460054	10.42429693
ND	PRSS1:8.6|KRT19:0.9	Acinar	0.03035136	0.6852307	1.05358663	1.23453866	1.3081433	1.40414294	1.53102014	1.66944666	1.7013056	1.76766531	1.89252139	1.9487712	2.08803697	2.24676559	2.39646281	2.50806569	2.76287428	3.1325895	3.75524932	4.40806516	8.11486983
ND	PRSS1:6.7|KRT19:0.8	Acinar	0.01006467	1.12275562	1.46207059	1.74961084	1.92777677	2.0452917	2.1893604	2.33658129	2.43041494	2.5666877	2.65924713	2.79157001	2.93631273	3.10108197	3.20864318	3.40300217	3.81492206	4.18107489	4.70592593	6.21591019	21.58958051
ND	PRSS1:8.2|GCG:0.7	Acinar	0.011324409	0.717876961	1.006530953	1.161285327	1.354093813	1.497771252	1.66609764	1.820288956	1.961874737	2.086290189	2.218331178	2.417621013	2.567229348	2.732031387	2.886656571	3.064570294	3.390650806	3.879691402	4.702128266	7.202984049	28.77188592
ND	PRSS1:6.1|GCG:2.1	Acinar	0.00E+00	3.78E+00	4.36E+00	4.71E+00	5.29E+00	5.57E+00	5.79E+00	6.02E+00	6.46E+00	7.09E+00	7.35E+00	7.69E+00	8.09E+00	8.71E+00	9.15E+00	9.87E+00	1.09E+01	1.33E+01	2.32E+01	3.53E+01	4.62E+01
ND	PRSS1:9|KRT19:0.9	Acinar	0.01614285	2.82190622	3.70024961	4.22589711	4.60812458	4.89132773	5.31479808	5.55123176	5.83292255	6.12214723	6.33160047	6.57149962	6.99115746	7.48186922	7.83818188	8.38739796	9.32489485	10.6119715	12.47332024	16.24967804	35.76526355
ND	PRSS1:6.7|GCG:1.8	Acinar	0.05638038	2.104283912	3.712797762	4.298300171	4.764685679	4.985117358	5.397283274	5.598899654	5.996737466	6.179308976	6.326150623	6.50801735	6.769442571	7.345692057	7.827039384	8.45315945	9.485658429	10.96035746	17.97742704	30.9422067	47.76699705
ND	PRSS1:7|KRT19:1.7	Acinar	0.25887668	3.36536634	3.80491737	4.50857396	5.1249328	5.75598784	6.19108177	6.50798555	7.03755594	7.66228432	8.16544608	8.73744566	9.28212661	9.44460874	11.12998702	15.58385431	17.2405719	21.40017159	26.61895361	33.91905121	43.17500524
ND	PRSS1:6.5|GCG:1.5	Acinar	0.0373722	2.0605012	3.1196405	4.0829344	4.4064632	5.0853339	5.523047	5.9396819	6.1839712	6.4293323	6.763793	7.1557812	7.4658504	7.7331208	8.346689	8.7041075	10.1625865	11.3665833	28.0588067	34.7627926	41.3000525
ND	PRSS1:8.1|KRT19:1	Acinar	0.07010088	3.02579595	3.74750929	4.42570278	4.886497	5.27577738	5.59973716	6.04968432	6.23465988	6.46614463	6.64329677	7.25533948	7.68338619	8.15420216	8.63646955	8.93059971	9.79327432	10.71504577	11.95610623	14.86640625	23.45288483
ND	PRSS1:3.4|KRT19:2.7	Acinar	0.002792233	2.785248046	4.410767352	5.402015752	5.948090183	6.501374695	7.390686976	8.127337203	8.43983163	8.757627887	9.284818225	10.1759938	11.4246312	13.62736529	15.04089326	16.94659667	18.56491979	19.61649941	22.49643587	23.72325256	46.04191734
ND	PRSS1:5.2|KRT19:4.7	Acinar	0.25502525	5.634785408	6.47825248	7.071156738	7.728104273	8.169525182	8.291322324	8.651718653	8.985559045	9.210697364	9.697366132	10.15330515	10.36048969	11.41644691	11.84845003	13.14596099	14.94435242	15.81199244	18.30706918	20.44118193	44.32037601
ND	PRSS1:7.3|KRT19:2.1	Acinar	0.007114467	2.06708874	3.640507931	4.225048417	4.659384785	4.925972576	5.333138116	5.618492904	5.932003613	6.088271528	6.429050227	6.625826693	7.116126796	7.466797469	7.853342312	8.641293582	9.126194719	10.52935286	11.08675984	16.11104363	42.25973301
ND	PRSS1:6.8|KRT19:1.9	Acinar	0.03974552	2.74999914	3.6110584	4.53442287	5.31424435	5.58865609	5.72978405	6.1882288	6.56580084	6.86575364	7.29020284	8.0042954	9.09103813	9.42206018	9.75618487	10.10210514	11.02292396	14.29699329	16.75095232	17.63274168	44.9941126
ND	PRSS1:4.8|KRT19:4.3	Acinar	6.05693328	7.60989116	8.05191088	8.54883896	9.14194103	9.65353242	9.99558861	10.04649178	10.20600059	10.52361343	10.65327193	10.9632201	11.10309337	11.5276808	12.43666136	14.67638596	17.4077917	17.98370188	23.82455803	42.95772061	48.43637459
ND	PRSS1:6.9|KRT19:1.6	Acinar	0.31442508	3.43463052	4.08846823	4.43379226	4.85263682	5.6048589	5.68716961	5.95420808	6.18606748	6.45792976	6.7320681	7.04104905	7.40146965	7.54474718	8.07669911	8.45302128	8.95109038	9.76315296	10.69240015	13.22570055	41.13974188
ND	PRSS1:6.5|INS:3	Acinar	0.081695763	1.219010212	3.518380344	4.145695695	4.509020871	5.06023507	5.726187712	5.932118748	6.232197288	6.738126326	7.18640739	7.56515215	7.844872352	7.947545286	8.594994136	9.965459198	11.16629172	12.99359438	15.16689732	16.97123124	28.712783
ND	PRSS1:4.8|KRT19:1.5	Acinar	0	0.031379364	1.028147821	2.318045648	3.256534267	4.092115488	4.788537405	5.096116259	5.484708672	6.240133768	7.427284134	9.463172736	12.31916926	15.01238646	19.17216535	21.98371659	23.97220533	30.36431307	35.23561015	45.78677736	49.66253242
ND	PRSS1:7.9|GCG:3.9	Acinar	0.18900283	0.82692295	2.74199729	3.42153273	3.71811896	3.83756465	3.85664037	4.21276689	4.45851395	4.8381156	5.02937873	5.17725725	5.54535455	5.90767964	6.0960243	6.58406648	6.97739352	7.50376874	8.2242769	9.05014144	13.89779162
ND	PRSS1:6.8|GCG:2.3	Acinar	0	0.158824651	2.0906565	2.791324878	2.98546783	3.265773273	3.472715661	3.741921123	4.129953386	4.448500387	4.600514612	4.986217212	5.486592154	5.850304987	6.25560697	6.495263493	7.555404395	9.238411433	12.39240337	20.42878771	33.4474482
ND	PRSS1:7|INS:6.8	Acinar	0.01161333	1.91703948	3.79739538	4.59110606	4.91528301	5.58617657	6.04586881	6.33624934	6.64187248	7.0110494	7.28562388	7.7440564	8.25304338	8.82362073	9.83041886	10.65195787	12.33908647	13.96575265	18.00319977	26.65818268	45.05257874
ND	COL1A1:0.3|PPY:0.2	Stellate	0.046554775	0.139644788	0.285544901	0.369192778	0.512387648	0.625839567	0.760184549	0.858651697	0.966082305	1.071950178	1.108724294	1.16948512	1.246171881	1.434845295	1.569303675	1.768147546	1.83687325	1.922880739	2.255238221	3.081497444	4.248682706
ND	COL1A1:2.1|HLA-DPB1:0.5	Stellate	0.005477892	0.153491669	0.313897753	0.695281238	0.890736845	1.167578692	1.394872083	1.555386947	1.709987145	1.8096861	1.879212266	1.977821139	2.044855051	2.236932938	2.34386895	2.541583777	2.717477883	2.850318173	3.349980736	4.126384155	7.955402066
ND	COL1A1:4.9|HLA-DPB1:0.5	Stellate	0.976405015	1.502312877	1.700325471	1.88112902	2.061520538	2.181680776	2.262077192	2.439393288	2.631117131	2.731665707	2.812258277	2.951228651	3.119644734	3.273921222	3.60518139	3.943297418	4.165790643	4.69255953	5.472657986	7.011856868	17.139331
ND	COL1A1:5.7|HLA-DPB1:0.3	Stellate	0.60514011	1.91682534	2.1479014	2.25311516	2.33683567	2.44378541	2.52479499	2.58820416	2.64927592	2.73467236	2.8092843	2.88946751	3.01397862	3.08821317	3.26734617	3.40471605	3.46730198	3.59834317	3.90904023	4.58267393	11.88327945
ND	COL1A1:4.9|HLA-DPB1:0.4	Stellate	0.02578825	0.96054498	1.96367879	2.28789751	2.38800656	2.53401435	2.7099755	2.94649917	3.20509328	3.36006019	3.4400451	3.55369316	3.71500489	3.90416232	4.08600983	4.17400454	4.38114198	4.68404539	4.94257582	6.27886577	14.70531105
ND	COL1A1:4.1|GCG:1.1	Stellate	0.192289083	1.235228067	1.543941978	1.819717305	1.932553086	2.078759475	2.310809435	2.448939407	2.659512183	2.816864554	3.01193187	3.16054979	3.33082938	3.496450959	3.794296955	3.958334945	4.279255282	4.593277613	5.041398363	5.602605107	19.7196564
ND	COL1A1:7|GCG:1.7	Stellate	2.24E+00	4.29E+00	5.11E+00	5.65E+00	6.06E+00	6.50E+00	6.70E+00	6.91E+00	7.47E+00	7.72E+00	8.07E+00	8.29E+00	8.66E+00	8.91E+00	9.37E+00	1.00E+01	1.03E+01	1.12E+01	1.36E+01	2.35E+01	4.23E+01
ND	COL1A1:3|GCG:1.8	Stellate	3.44E+00	6.40E+00	6.99E+00	7.78E+00	8.10E+00	8.50E+00	8.55E+00	8.68E+00	9.00E+00	9.63E+00	9.75E+00	9.83E+00	9.87E+00	1.01E+01	1.06E+01	1.08E+01	1.09E+01	1.13E+01	1.22E+01	1.39E+01	1.73E+01
ND	COL1A1:2.9|INS:0.5	Stellate	0	1.92329425	2.68442099	3.14291001	3.46127497	3.68496891	3.92339312	4.08194928	4.33367822	4.49817102	4.72569592	4.97775192	5.42333641	5.6454511	5.91505745	6.13145958	6.61967428	7.52416655	8.60595671	11.4455136	19.24935444
ND	COL1A1:6.6|INS:1.6	Stellate	2.094474078	4.538061907	4.800732935	5.162527257	5.370332511	5.545223967	5.750985087	6.097511375	6.449790019	7.013308402	7.609604264	7.859407395	8.482654503	8.880803794	9.378416498	11.25195175	12.5525093	15.17626745	18.2216805	30.55093423	42.5277129
ND	COL1A1:6.7|GCG:1.5	Stellate	2.1114173	3.08467477	3.91487372	4.44137497	4.84394508	5.1007422	5.82781118	6.22083084	6.5982965	6.98929661	7.16434442	7.42580505	7.51162418	7.82730811	7.98136894	8.31036512	8.5476681	10.27033016	13.12667286	26.9062352	47.29433555
ND	COL1A1:6.3|GCG:2.3	Stellate	4.2914465	4.4390832	5.4619419	6.091383	6.3893732	6.9532215	7.1610961	7.3611686	7.4375099	8.0125758	8.3674515	8.7016239	8.9263891	9.4199589	10.2814463	11.4122817	12.4369231	13.5335765	16.3102157	25.5202381	29.991805
ND	COL1A1:4.2|GCG:0.9	Stellate	1.7466035	3.38853714	4.43902288	5.06521313	5.17917291	5.86310702	6.18018769	6.71678074	6.91340331	6.95762435	7.4170508	7.74391271	8.07427733	8.28403042	8.70687791	9.58751456	9.98326564	10.4133213	11.11501025	14.19773271	21.4082435
ND	COL1A1:6.4|GCG:2.1	Stellate	2.590868086	4.278712667	4.800411696	5.321889618	5.698139316	6.063640823	6.490159376	6.746720305	6.873947827	7.121629687	7.478018931	7.829555079	8.137537074	8.402050659	8.712524983	9.160814667	9.699208711	12.72064528	16.16873793	23.39249175	35.22701132
ND	COL1A1:5.8|GCG:2.3	Stellate	3.07521282	4.18311428	4.60317065	5.36678243	5.91547568	6.21525454	6.56423599	6.69451047	6.97581737	7.40110648	7.54284126	8.074437	8.23787426	8.88496784	9.43139728	10.10085033	10.51161203	11.89828142	13.75931938	18.63884821	28.7883657
ND	COL1A1:7.4|GCG:0.8	Stellate	0.001856914	2.72970818	3.692697616	4.252607702	5.243349693	5.566065243	5.913972645	6.05623311	6.311248207	6.500402069	6.576805382	6.770918846	7.074786772	7.365785476	7.707959918	8.292409309	9.069336931	12.44028143	24.83784127	31.66746651	48.32706807
ND	COL1A1:7.2|HLA-DPB1:0.6	Stellate	0.01138984	2.73940122	4.17719737	4.77714694	5.09486016	5.43092058	5.55212004	5.87259263	5.99024323	6.15942234	6.42658718	6.45261407	6.60180669	7.25253813	7.52989014	7.68999284	8.17862256	10.04436288	11.70914983	14.783407	32.34887457
ND	COL1A1:7.6|HLA-DPB1:0.4	Stellate	0.03853618	3.36933144	3.95540143	4.25968559	4.63408813	4.78533215	5.13274064	5.6912008	6.1798593	6.33513376	6.49904472	6.81443556	6.89512486	7.33649747	8.27024732	8.45035232	9.49596716	13.0833762	15.3210346	27.96049974	37.65280151
ND	COL1A1:7.3|HLA-DPB1:0.6	Stellate	0	0.320094086	2.412820247	3.337298341	3.993882876	4.646313021	5.112657153	5.563069947	6.024402355	6.460457873	6.948679481	7.274160869	7.617447678	7.984274929	8.537476015	9.215349327	10.04086168	11.69520904	14.3217625	21.62046915	49.89766924
ND	COL1A1:2.7|GCG:1.1	Stellate	0	2.167004153	3.261640686	4.130653434	5.059157569	5.506707307	5.767462528	6.291311524	6.734591595	7.251088043	7.78874281	8.350295416	9.074136528	9.301516304	9.653540424	10.18345496	11.47409303	12.52314877	13.44438185	17.66057846	26.22878134
ND	COL1A1:5.3|HLA-DPB1:0.6	Stellate	0.022269387	0.52833573	1.30059111	1.472326829	1.842675007	2.359302553	2.539048148	2.695289423	3.071973748	3.17868403	3.512695532	3.85500002	4.256008866	4.750579632	5.181712971	5.651398005	5.874971292	6.368854137	7.242465006	7.685007477	12.97879473
ND	COL1A1:6.7|INS:4	Stellate	0.358975	1.54462052	4.26838044	5.07984099	5.51721397	5.82801681	6.65302427	6.95420195	7.3140259	7.63981508	8.01969216	8.76264247	8.8742475	9.26679092	9.86119687	10.35481198	11.4114514	13.26339452	17.18580259	29.88266419	47.43187232
ND	COL1A1:5.4|GCG:2.6	Stellate	0	0.126937829	1.497493924	2.678639357	3.755620567	4.457840975	5.178451922	5.627988544	5.912850686	6.28995517	6.690666796	7.175518877	7.653802658	8.163253932	8.794193589	9.486002258	10.44804647	11.5480183	15.24597051	23.51489204	44.28450301
ND	COL1A1:5.5|GCG:2.5	Stellate	0.0693032	0.9429873	1.680912	2.3837955	3.0588333	3.932752	4.4277898	4.9194298	5.4887107	6.0720452	6.4797414	6.7764286	7.1711495	7.6242327	8.2465327	8.6968316	10.7715172	13.4064712	16.8488608	21.803087	48.9080411
ND	COL1A1:6|INS:5.7	Stellate	0.05749708	2.31707408	4.94961618	6.58131346	6.99817693	7.54633652	7.81033993	8.11246281	8.35931333	8.6126714	8.87106723	9.07736564	9.41082386	10.09626647	10.45888633	11.09816798	11.47064513	12.7177762	14.03308844	18.1224051	46.72190073
